Image Name,Discharge
2016-12-07: 235519,380
2016-12-19: 234604,338
2017-02-05: 219091,285
2017-03-01: 219663,265
2017-03-13: 221984,279
2017-04-06: 254081,296
2017-04-18: 279187,285
2017-04-30: 256127,241
2017-05-12: 315361,187
2017-05-24: 314526,180
2017-06-05: 277618,264
2017-06-29: 198279,1402
2017-12-14: 235127,276
2017-12-26: 230517,255
2018-02-24: 220947,261
2018-03-08: 220717,245
2018-03-20: 221660,208
2018-04-01: 232376,215
2018-04-13: 259248,163
2018-04-25: 189178,145
2018-05-07: 272052,125
2018-05-19: 231975,167
2018-05-31: 238325,236
2018-06-12: 178716,249
2018-06-24: 209553,680
2019-02-19: 219076,212
2019-03-03: 220669,230
2022-03-11: 227192,279
2022-03-23: 218340,307
2022-04-04: 242074,351
2022-04-16: 247364,270
2022-04-28: 256478,235
2022-05-10: 253901,310
2022-05-22: 257423,256
2019-02-19: 219077,296.4722222
2019-03-03: 220670,301.3222222
2022-03-11: 227193,306.1722222
2023-02-10: 203282,228
2023-02-22: 195453,263
2023-03-06: 199173,233
2023-03-18: 205758,187
2023-03-30: 206679,255
2023-04-11: 203798,164
2023-04-23: 226751,138
2023-05-05: 186248,170
2023-05-17: 235071,306
2023-05-29: 182933,311